任务：大模型深圳,生成时间：2026-06-15 02:16:32,本次投递数：38,统计区间：2026-06-15 00:36:41 起
序号,公司,职位,城市/来源,投递时间
1,光汇石油集团,大模型 Agent 研发工程师,深圳,2026-06-15 00:39:33
2,赛意信息,AI架构师（大模型与企业应用方向）,深圳,2026-06-15 00:40:22
3,广东天亿马,AI大模型平台工程师,深圳,2026-06-15 00:40:55
4,某大型风电公司,大模型数据开发支持专家,深圳,2026-06-15 00:41:35
5,成都创元聚星科技,Ai大模型研发,深圳,2026-06-15 00:42:04
6,追觅创新科技有限公司,大模型 Agent 算法工程师,深圳,2026-06-15 00:42:48
7,道通科技,大模型架构师(A168729),深圳,2026-06-15 00:43:38
8,深圳某小型大数据公司,高级大模型算法工程师,深圳,2026-06-15 00:44:24
9,外企德科数字,AI大模型算法工程师,深圳,2026-06-15 00:44:56
10,某500强上市公司,大模型应用开发工程师,深圳,2026-06-15 00:45:23
11,力源海纳,大模型应用开发工程师,深圳,2026-06-15 00:45:53
12,某大型互联网金融上市公司,AI大模型一号位,深圳,2026-06-15 00:46:24
13,某大型知名互联网上市公司,大模型前沿部署工程师,深圳,2026-06-15 00:46:57
14,某大型计算机服务公司,大模型算法,深圳,2026-06-15 00:47:39
15,深圳某中型智能硬件公司,多模态生成大模型,深圳,2026-06-15 00:48:21
16,某大型通信信息解决方案上市公司,AI大模型及应用专家,深圳,2026-06-15 00:49:02
17,某大型人工智能公司,大模型应用算法工程师,深圳,2026-06-15 00:49:36
18,vivo,多模态大模型工程师-P3955O,深圳,2026-06-15 00:50:02
19,某大型人工智能公司,大模型算法工程师（多模态/语言大模型）,深圳,2026-06-15 00:50:33
20,深圳某国际大型通信/网络设备公司,大模型推荐算法专家,深圳,2026-06-15 00:51:04
21,重庆某大型汽车软件公司,大模型微调专家,深圳,2026-06-15 00:51:33
22,深圳某小型人工智能公司（获天使轮融资）,大模型数据算法工程师,深圳,2026-06-15 00:52:01
23,深盾安视智能科技,大模型工程师,深圳,2026-06-15 00:52:36
24,某大型人工智能自动驾驶公司,大模型端侧推理,深圳,2026-06-15 00:53:04
25,腾讯音乐,音频多模态大模型算法工程师,深圳,2026-06-15 00:53:46
26,某大型智能硬件/消费电子上市公司,大模型应用算法专家,深圳,2026-06-15 00:54:18
27,深圳快鹭科技有限公司,大模型数据工程师,深圳,2026-06-15 00:54:49
28,华算科技,高级大模型部署工程师,深圳,2026-06-15 00:55:29
29,科思科技,大模型算法工程师,深圳,2026-06-15 00:56:14
30,深圳某小型人工智能智能硬件公司,大模型算法工程师,深圳,2026-06-15 00:56:46
31,吉阳智能,机器人大模型算法工程师,深圳,2026-06-15 00:57:26
32,深圳某大型证券/期货公司,大模型专家,深圳,2026-06-15 00:57:58
33,深圳安世腾科技,大模型算法,深圳,2026-06-15 00:58:35
34,开鸿数字产业发展...,大模型后训练算法工程师,深圳,2026-06-15 00:59:05
35,某大型互联网金融公司,AI 大模型/人工智能专家,深圳,2026-06-15 00:59:44
36,大族数控,大模型算法工程师,深圳,2026-06-15 01:00:13
37,深圳某中型视频会议设备上市公司,大模型算法工程师,深圳,2026-06-15 01:00:50
38,深圳市景旺电子股...,AI大模型应用工程师,深圳,2026-06-15 01:01:17
