任务：远程软件,生成时间：2026-06-17 13:59:11,本次投递数：17,统计区间：2026-06-17 11:44:44 起
序号,公司,职位,城市/来源,投递时间
1,北京海伴科技有限公司,【远程办公】大模型Agent研发,北京,2026-06-17 11:56:21
2,金鸿睿,AI 架构师（远程）,北京,2026-06-17 12:00:02
3,晨星创投,教育AI智能体开发工程师（兼职/远程）,北京,2026-06-17 12:06:31
4,北京玄犀科技有限公司,软件开发工程师(实习生),北京,2026-06-17 12:10:32
5,营口关羽科技有限公司,软件开发,北京,2026-06-17 12:11:23
6,某知名互联网电商平台,电商iOS 开发专家-口语好-外企远程办公,北京,2026-06-17 12:17:31
7,南京白利度科技,远程居家办公-移动端大前端开发(RN),北京,2026-06-17 12:23:14
8,某大型社交网络与媒体公司,AI后端开发工程（远程办公）,北京,2026-06-17 12:25:35
9,索邦智慧,[远程/兼职]资深前端全栈开发（Antd 专家）,北京,2026-06-17 12:31:54
10,北京工作魔法科技,"后端或全栈工程师-限北美时区,可远程办公",北京,2026-06-17 12:34:35
11,磐康股份,远程Taro专家,北京,2026-06-17 12:40:42
12,网龙,【AI应用】高级软件开发工程师,北京,2026-06-17 12:46:28
13,某中型奢侈品电子商务上市公司,java专家（P7+/P8）+远程办公+电商行业,北京,2026-06-17 12:49:20
14,北京某大型互联网上市公司,AI 前端/全栈开发（全国远程办公）,北京,2026-06-17 12:57:33
15,某大型互联网上市公司,证券交易系统资深架构师（远程）,北京,2026-06-17 13:14:06
16,北京极致印象国际...,高级软件工程师,北京,2026-06-17 13:15:16
17,麦索科技,高级前端开发工程师（远程）,北京,2026-06-17 13:22:11
